run_id,dataset,stage,trial_index,timestamp,status,n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,error,phenotype
20260924_114344_298bb1,Banknote,stage1,1,1790250226.4336782,ok,180,20,2,5,entropy,0.7,,"{'n_estimators': 180, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 5, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,2,1790250226.5945592,ok,300,3,6,3,gini,0.9,,"{'n_estimators': 300, 'max_depth': 3, 'min_samples_split': 6, 'min_samples_leaf': 3, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,3,1790250226.8359258,ok,300,12,15,3,gini,0.8,,"{'n_estimators': 300, 'max_depth': 12, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,4,1790250227.1010537,ok,60,4,2,1,gini,0.9,,"{'n_estimators': 60, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,5,1790250227.1848366,ok,120,2,8,6,entropy,0.9,,"{'n_estimators': 120, 'max_depth': 2, 'min_samples_split': 8, 'min_samples_leaf': 6, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,6,1790250227.307169,ok,260,12,8,5,gini,0.9,,"{'n_estimators': 260, 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 5, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,7,1790250227.5344102,ok,220,6,8,3,gini,0.8,,"{'n_estimators': 220, 'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 3, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,8,1790250227.7296562,ok,80,5,12,6,entropy,0.8,,"{'n_estimators': 80, 'max_depth': 5, 'min_samples_split': 12, 'min_samples_leaf': 6, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,9,1790250227.823119,ok,40,20,2,8,entropy,1.0,,"{'n_estimators': 40, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 8, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,10,1790250227.8860369,ok,40,15,10,1,gini,0.9,,"{'n_estimators': 40, 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,11,1790250227.9524305,ok,40,6,15,10,entropy,1.0,,"{'n_estimators': 40, 'max_depth': 6, 'min_samples_split': 15, 'min_samples_leaf': 10, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,12,1790250228.0135107,ok,300,4,5,3,gini,0.9,,"{'n_estimators': 300, 'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 3, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,13,1790250228.2767565,ok,40,7,15,10,entropy,0.7,,"{'n_estimators': 40, 'max_depth': 7, 'min_samples_split': 15, 'min_samples_leaf': 10, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,14,1790250228.338297,ok,40,6,8,6,gini,0.9,,"{'n_estimators': 40, 'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,15,1790250228.4044268,ok,300,4,5,3,gini,0.9,,"{'n_estimators': 300, 'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 3, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,16,1790250228.661168,ok,300,6,15,10,entropy,0.9,,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_split': 15, 'min_samples_leaf': 10, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,17,1790250228.9123676,ok,40,4,5,3,gini,0.9,,"{'n_estimators': 40, 'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 3, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,18,1790250228.980101,ok,40,6,15,6,entropy,0.8,,"{'n_estimators': 40, 'max_depth': 6, 'min_samples_split': 15, 'min_samples_leaf': 6, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,19,1790250229.0346408,ok,40,12,5,10,entropy,1.0,,"{'n_estimators': 40, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 10, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,20,1790250229.102174,ok,40,12,5,10,entropy,1.0,,"{'n_estimators': 40, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 10, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,21,1790250229.16337,ok,40,12,2,10,entropy,0.8,,"{'n_estimators': 40, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 10, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,22,1790250229.2175016,ok,40,6,8,1,entropy,0.6,,"{'n_estimators': 40, 'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 1, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,23,1790250229.2823737,ok,40,6,3,1,entropy,0.8,,"{'n_estimators': 40, 'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 1, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,24,1790250229.3552642,ok,40,6,8,6,entropy,1.0,,"{'n_estimators': 40, 'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'criterion': 'entropy'}"
20260924_114344_298bb1,Banknote,stage1,25,1790250229.4271655,ok,300,4,5,3,gini,0.9,,"{'n_estimators': 300, 'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 3, 'criterion': 'gini'}"
20260924_114344_298bb1,Banknote,stage1,26,1790250229.6919408,ok,300,4,5,3,gini,1.0,,"{'n_estimators': 300, 'max_depth': 4, 'min_samples_split': 5, 'min_samples_leaf': 3, 'criterion': 'gini'}"
