n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy
150,4,20,4,entropy,1.0
40,2,5,10,entropy,0.8
220,15,15,6,gini,0.9
40,8,4,2,gini,0.9
40,3,15,8,entropy,1.0
220,2,4,5,gini,1.0
60,7,10,3,gini,0.7
80,12,15,2,gini,0.9
300,12,15,10,entropy,1.0
40,4,12,2,gini,0.9
40,2,15,4,gini,1.0
40,5,12,2,gini,0.9
40,3,5,1,entropy,0.8
80,5,3,3,gini,1.0
150,4,15,8,gini,0.7
40,15,20,10,entropy,1.0
40,5,12,2,gini,0.9
20,3,20,8,entropy,1.0
150,4,12,6,gini,0.8
80,5,3,3,gini,1.0
20,3,6,10,entropy,1.0
40,8,4,6,entropy,1.0
40,8,4,6,entropy,0.9
20,3,6,10,entropy,0.9
150,4,20,10,entropy,0.9
40,5,5,10,gini,0.7
80,5,3,3,entropy,0.7
20,3,20,8,gini,1.0
150,4,3,3,gini,0.7
150,4,20,10,entropy,0.7
150,8,4,6,entropy,1.0
60,10,8,4,entropy,0.8
20,3,6,10,gini,0.8
80,3,4,1,entropy,1.0
20,3,6,10,entropy,0.7
80,3,4,1,entropy,1.0
150,4,20,10,gini,0.8
100,5,12,8,gini,0.9
150,8,4,6,entropy,0.7
150,4,20,10,entropy,0.9
150,4,20,10,entropy,1.0
150,5,12,8,gini,0.7
150,8,4,6,entropy,0.9
20,3,6,4,entropy,1.0
150,4,20,10,entropy,0.6
20,3,6,10,entropy,0.9
150,8,4,6,entropy,0.8
20,3,5,10,gini,1.0
20,3,6,8,entropy,0.8
20,3,6,4,entropy,0.7
150,4,12,8,gini,1.0
20,3,6,4,entropy,0.9
150,4,6,5,gini,0.7
180,6,5,10,gini,0.8
150,4,20,10,entropy,0.9
